GO_ID	Name	Gene Count	Gene Ratio	Fold Enrichment	p-value	FDR	-log10 FDR	FWER	Associated Genes
HP:0006863	Severe expressive language delay	9	0.0034856700232378003	5.982571649883812	1.1625585951817901e-06	5.1107864395876386e-05	4.291512266187477	0.011959240268635075	GRIA3, ASXL1, TAF1, ARID1B, POGZ, HERC1, EHMT1, DPYD, KMT2C
HP:0100033	Tics	12	0.004647560030983733	5.98257164988381	1.6442156909147593e-08	9.776905671930712e-07	6.009798574889613	0.0001691404681244013	SPTBN1, FRYL, ZSWIM6, GATAD2B, MAPK1, VPS13A, ZBTB20, KMT5B, POGZ, ARID2, ACBD6, CHD8
HP:0040082	Happy demeanor	14	0.005422153369481022	5.3178414665633875	1.1240927518530017e-08	6.924276729528041e-07	6.159625583820123	0.00011563542138311829	ADNP, GRIK2, SLC9A6, TCF4, ZSWIM6, HNRNPC, HDAC8, WDR26, UBE3A, ZEB2, TASP1, SNRPN, ASXL1, DYRK1A
HP:0004684	Talipes valgus	13	0.005034856700232378	4.713541299908457	3.029314318109872e-07	1.4768984071277846e-05	4.830649377904892	0.0031162556390396255	LIFR, EXT1, HNRNPH1, SCN2A, RAB3GAP2, SCN9A, GABRG2, DNMT3A, FGF13, EXT2, ADGRV1, HCN1, SCN1A
HP:0007270	Atypical absence seizure	21	0.008133230054221533	4.653111283242964	8.992468998684293e-11	7.1709712084856845e-09	8.144422021191058	9.250552858946533e-07	CHD2, CEP85L, KCNMA1, DNM1, CACNB4, SCN2A, MAPK10, SCN1A, FRRS1L, GABRB3, UBE3A, CACNA1A, PPP3CA, OTUD7A, SCN9A, ZEB2, GABRG2, PAFAH1B1, GRIN2A, HNRNPU, KCNB1
HP:0002236	Frontal upsweep of hair	15	0.005809450038729667	4.43153455546949	1.1248487693913634e-07	5.844100651883311e-06	5.233282312898404	0.0011571319290728955	BRD4, TCF4, CAMTA1, MED13L, MED27, EP300, FRMPD4, UBR1, OGT, FOXP1, FBXO11, CREBBP, HDAC4, TRIO, HERC2
HP:0010844	EEG with multifocal slow activity	29	0.011231603408210689	4.364643467839761	2.2298290305060858e-13	2.548694581868456e-11	10.593682204293897	2.2938251236816104e-09	DNM1, CACNA1B, GABRB2, SYNJ1, NTRK2, SLC1A2, FGF12, SCN3A, ATP6V1A, GABRA5, SCN1A, CNKSR2, CYFIP2, HCN1, WWOX, GABRA2, CACNA1A, SCN8A, ATP1A3, PPP3CA, CLTC, CACNA2D1, YWHAG, GABRG2, TRAK1, CELF2, GRIN2A, CDK19, KCNB1
HP:0032792	Tonic seizure	45	0.017428350116189	4.324750590277454	8.86951832108069e-20	2.534464860248807e-17	16.596113725788314	9.124073496895705e-16	ARFGEF1, CHD2, CEP85L, DNM1, CACNA1B, CNTNAP2, ADNP, GLUL, CACNA1C, CLCN3, SCN2A, SYNJ1, ALG13, NAPB, FGF12, ATP6V0A1, MECP2, ATP6V1A, ARHGEF9, TSEN2, SLC25A12, SCN1A, GABRA5, KCNQ5, VPS53, PHACTR1, GNB1, CUL3, NSF, SCN8A, CACNA1A, ATP1A3, DMXL2, GRIA2, GRIK2, PPP3CA, ATP6V0C, DOCK7, ST3GAL3, DENND5A, GABRG2, PLCB1, NEXMIF, TBL1XR1, HNRNPU
HP:0011443	Abnormality of coordination	29	0.011231603408210689	4.205929159918315	7.896574299119381e-13	8.641708490961816e-11	10.063400387747304	8.123205981504108e-09	DNM1, CACNA1B, GABRB2, SYNJ1, NTRK2, SLC1A2, FGF12, SCN3A, MYT1L, ATP6V1A, GABRA5, SCN1A, CNKSR2, CYFIP2, HCN1, WWOX, GABRA2, ATP1A3, CACNA1A, SCN8A, PPP3CA, CLTC, CACNA2D1, YWHAG, GABRG2, TRAK1, CELF2, CDK19, KCNB1
HP:0012547	Abnormal involuntary eye movements	35	0.013555383423702556	4.166965328277281	4.945306936439142e-15	7.267481779307065e-13	12.138616048399133	5.087237245514946e-11	TBCK, DNM1, CACNA1B, HTT, GABRB2, SCN2A, SYNJ1, NTRK2, SLC1A2, FGF12, SCN3A, ATP6V1A, GABRA5, SCN1A, CNKSR2, CYFIP2, SLC1A3, TUBB3, HCN1, GABRA2, SCN8A, CACNA1A, WWOX, ATP1A3, PPP3CA, CLTC, CACNA2D1, YWHAG, KIF21A, GABRG2, TRAK1, CELF2, GRIN2A, CDK19, KCNB1
HP:0002263	Exaggerated cupid's bow	21	0.008133230054221533	4.085658687725529	2.316206823623988e-09	1.5080265566215167e-07	6.82159101039421	2.3826819594619964e-05	TBCK, EXOC2, CLCN3, SCN2A, SMARCA2, POGZ, B3GLCT, TRIP12, MYT1L, CHD8, MED27, NRCAM, SLC1A3, ZNF462, CACNA1A, ATP1A3, KMT2A, JARID2, HNRNPK, DNMT3A, HNRNPU
HP:0012171	Stereotypical hand wringing	16	0.006196746707978312	3.988381099922541	2.935773374719648e-07	1.438109557416239e-05	4.842208027465714	0.0030200300705741016	GRIA2, CHD8, GRIN2A, CASK, GNAI1, CELF2, CACNA1B, MECP2, HDAC4, PUM1, NEXMIF, VAMP2, CNTNAP2, CDKL5, DYRK1A, KCNB1
