GO_ID	Name	Gene Count	Gene Ratio	Fold Enrichment	p-value	FDR	-log10 FDR	FWER	Associated Genes
HP:0012391	Hyporeflexia of upper limbs	9	0.0020876826722338203	4.777545813036419	7.661016684968405e-07	2.359708213431065e-05	4.6271416958143154	0.007880887863826997	ATP6AP2, RYR1, ST3GAL5, HSPB1, GDAP1, RUBCN, ACOX1, SPTAN1, PMP22
HP:0000576	Centrocecal scotoma	11	0.002551612154952447	4.042538764876969	1.7060843766470234e-06	4.985934654138616e-05	4.302253417676004	0.01755048998256793	NDUFS2, MT-CO1, MT-ATP6, OPA1, MT-ND4L, MT-CO3, MT-ND1, MT-ND4, MT-ND2, MT-CYB, MT-ND5
HP:0004309	Ventricular preexcitation	11	0.002551612154952447	4.042538764876969	1.7060843766470234e-06	4.985934654138616e-05	4.302253417676004	0.01755048998256793	NDUFS2, MT-CO1, MT-ATP6, MT-ND4L, MT-CO3, MT-ND1, MT-ND4, MT-ND2, PRKAG2, MT-CYB, MT-ND5
HP:0012209	Juvenile myelomonocytic leukemia	14	0.003247506379030387	3.715868965694992	3.9242264214109225e-07	1.2897289839314428e-05	4.889501540203612	0.004036851719705416	SOS1, MRAS, RASA2, SOS2, MAP2K1, RAF1, PTPN11, ARHGAP26, KRAS, BRAF, SPRED2, NF1, CBL, RRAS2
HP:0040082	Happy demeanor	16	0.003711435861749014	3.6400349051706047	9.072130769803107e-08	3.344982409640307e-06	5.475606161727619	0.0009332500922896457	ADNP, GRIK2, SLC9A6, TCF4, ZSWIM6, SATB2, HNRNPC, HDAC8, WDR26, UBE3A, ZEB2, TASP1, TBC1D23, SNRPN, ASXL1, DYRK1A
HP:0200125	Mitochondrial respiratory chain defects	14	0.003247506379030387	3.52029691486894	1.2018892428922664e-06	3.583720185980506e-05	4.445665907053623	0.012363834641632744	CAMKMT, NDUFS2, MT-CO1, MT-ATP6, PREPL, MT-ND4L, MT-CO3, MT-ND1, MT-ND4, MT-ND2, PNPT1, MT-CYB, PPM1B, MT-ND5
HP:0007183	Focal T2 hyperintense basal ganglia lesion	15	0.003479471120389701	3.412532723597442	9.377693162820292e-07	2.8207113908167352e-05	4.549641347658115	0.009646832956593234	NDUFS4, MT-ATP6, MT-ND3, GFAP, NDUFS1, SPG11, SUCLG1, MT-ND1, PRNP, MT-ND4, MT-ND2, IARS2, PDSS2, LRPPRC, MT-ND5
HP:0002236	Frontal upsweep of hair	19	0.004407330085826954	3.36197668324785	4.595860589204213e-08	1.7445615454296582e-06	5.758313704708845	0.0004727761788114374	BRD4, OGT, MKRN3, HDAC4, MED13L, MED27, FRMPD4, UBAP2L, POLA1, FBXO11, CREBBP, TRIO, UBR1, HERC2, TCF4, CAMTA1, YY1, EP300, FOXP1
HP:0002310	Orofacial dyskinesia	18	0.0041753653444676405	3.071279451237697	8.454886113290666e-07	2.5581003955123844e-05	4.592082415150001	0.008697541344742108	PRRT2, MICU1, SLC35A1, PANK2, PDE10A, FGF14, IREB2, PLP1, VPS13A, JAM2, CACNA2D1, ATXN7, MRE11, PNPT1, GNAO1, FTL, LRPPRC, PRKRA
HP:0007270	Atypical absence seizure	23	0.005335189051264208	3.052320936106601	2.933408730140877e-08	1.1606144464215078e-06	5.935312027979573	0.00030175975606959205	EPM2A, CHD2, CEP85L, KCNMA1, DNM1, CACNB4, SCN2A, MAPK10, SRPX2, FRRS1L, EIF4A2, GABRB3, UBE3A, AP2M1, CACNA1A, PPP3CA, OTUD7A, TRIM8, ZEB2, GABRG2, PAFAH1B1, HNRNPU, KCNB1
HP:0000391	Thickened helices	30	0.006958942240779402	2.9250280487978073	1.029811555582007e-09	5.1177156870879736e-08	7.29092384485731	1.0593671472272106e-05	MAP2K1, TAF1, DDX3X, FBN1, ZFX, PIGL, RASA2, MRAS, PPP1CB, RAF1, KRAS, EDEM3, CDH2, BRAF, SPRED2, CBL, RRAS2, DYRK1A, MARK2, SOS1, TCF4, RB1, SOS2, PTPN11, SIN3A, AFF4, DIS3L2, SUPT16H, SMS, PBX1
HP:0010747	Medial flaring of the eyebrow	22	0.005103224309904894	2.9196113301889226	1.8654264592780306e-07	6.482987157632804e-06	5.188224838704783	0.0019189641986593101	BBS5, SCLT1, BBS9, CEP290, TTC8, ABL1, BBS4, BBS2, BBS7, BBS1, IFT74, NRCAM, PRKD1, APTX, UBAP2L, NPHP1, ARL6, SIN3A, SDCCAG8, WDPCP, SCAPER, FRA10AC1
HP:0000090	Nephronophthisis	22	0.005103224309904894	2.840702915859492	3.6901570060686064e-07	1.216687343635505e-05	4.914821009591546	0.0037960645121427753	NPHP3, WDR19, CEP290, IFT80, KIAA0753, TRIP11, TTC21B, CEP83, INVS, TMEM67, IFT43, ZNF423, DYNC2H1, NPHP1, SDCCAG8, DYNC2LI1, RPGRIP1L, AHI1, XPNPEP3, MAPKBP1, IQCB1, FAN1
HP:0000640	Gaze-evoked nystagmus	24	0.0055671537926235215	2.7966121832408306	1.6426389726444325e-07	5.728076986980772e-06	5.241991153619852	0.0016897827111593277	SETX, POLR3B, ATXN1, ATXN3, RFC1, TMEM106B, GRID2, CACNB4, FGF14, ATXN10, ITPR1, UCHL1, AFG3L2, SPG11, SLC1A3, ATXN2, GDAP2, APTX, CACNA1A, WWOX, SCN8A, VPS13D, UBAP1, MRE11
HP:0002539	Cortical dysplasia	26	0.006031083275342148	2.7603598030877086	7.254201016420934e-08	2.7235024035008084e-06	5.564872237124215	0.0007462396585592215	TUBB, HSD17B4, DDX3X, ADGRV1, NEDD4L, KIF2A, ARHGAP31, SLC12A2, VPS37A, SCN2A, KIF5C, RTTN, ATP6V0A1, TUBB2A, TUBB2B, MTOR, B4GAT1, TSC1, PRRT2, FIG4, ADGRG1, FRYL, YY1, SIN3A, GABRG2, CUL4B
HP:0000011	Neurogenic bladder	38	0.008814660171653908	2.7507081953846044	8.340544595692221e-11	4.959490303808433e-09	8.304562954481124	8.579918225588587e-07	COG7, BBS5, TBCK, ATXN3, BBS9, SCLT1, CEP85L, CEP290, FARS2, TTC8, TRAPPC12, GJA1, ERCC8, COG5, BBS4, MAP3K7, BBS2, CLCN6, BBS7, BBS1, IFT74, PLP1, FBXO7, MACF1, GBE1, ARNT2, GNB1, NPHP1, ARL6, TBCD, ERCC6, SNCA, WFS1, SDCCAG8, WDPCP, SCAPER, ACER3, PEX3
HP:0000078	Abnormality of the genital system	20	0.004639294827186268	2.730026178877954	2.99529234949069e-06	8.576763109993144e-05	4.066676584960655	0.030812572399210727	STT3B, ETFA, NSD2, RASA2, SOX5, MRAS, RAF1, KRAS, BRAF, SPRED2, CBL, RRAS2, KMT2C, SOS1, NELFA, SOS2, PTPN11, ZEB2, EHMT1, ETFDH
HP:0012447	Abnormal myelination	39	0.009046624913013222	2.700351981281454	1.0189858113689094e-10	5.955856273609074e-09	8.225055791163587	1.0482307041551972e-06	NUS1, RAB3GAP2, SLC30A10, NGLY1, OSTM1, DNM1, CACNA1B, ERCC8, SYNJ1, NTRK2, KCNA2, SLC1A2, FGF12, TFG, ATP6V1A, ATP1A2, CNKSR2, PLP1, CYFIP2, GABRA2, SCN8A, CACNA1A, WWOX, PPP3CA, ZFR, PGAP1, ERCC6, UBA5, FOXG1, CLTC, C2CD3, CACNA2D1, YWHAG, GABRG2, TRAK1, SLC13A5, CELF2, CDK19, KCNB1
HP:0002263	Exaggerated cupid's bow	23	0.005335189051264208	2.680086675605796	8.492125583739782e-07	2.561832723751646e-05	4.5914492311578154	0.008735849587993113	GPC4, TBCK, EXOC2, CLCN3, SCN2A, SMARCA2, POGZ, B3GLCT, TRIP12, CHD8, ATP1A2, MED27, NRCAM, SLC1A3, ZMIZ1, ZNF462, CACNA1A, KMT2A, JARID2, HNRNPK, SUPT16H, RALA, HNRNPU
HP:0032792	Tonic seizure	46	0.010670378102528416	2.6477964746948826	5.599861220794465e-12	4.0567445336839906e-10	9.391822340361893	5.760577237831267e-08	ARFGEF1, UFSP2, CHD2, CEP85L, DNM1, CACNA1B, CNTNAP2, ADNP, GLUL, CACNA1C, CLCN3, SCN2A, SYNJ1, ALG13, NAPB, FGF12, ATP6V0A1, MECP2, ATP6V1A, ARHGEF9, SLC25A12, LNPK, COG3, PSAP, KCNQ5, VPS53, PHACTR1, GNB1, CUL3, NSF, SCN8A, CACNA1A, DMXL2, GRIA2, GRIK2, PPP3CA, MTHFS, ATP6V0C, DOCK7, ST3GAL3, TRIM8, DENND5A, GABRG2, PLCB1, TBL1XR1, HNRNPU
