GO_ID	Name	Gene Count	Gene Ratio	Fold Enrichment	p-value	FDR	-log10 FDR	FWER	Associated Genes
HP:0010850	EEG with spike-wave complexes	14	0.0224	10.029356521739132	4.760057448508975e-11	8.161118495468637e-08	7.088250316353778	4.896671097281183e-07	SCN9A, STX1B, CACNB4, AP2M1, SYT1, GOSR2, PRNP, GNAO1, SCN8A, PAFAH1B1, SLC32A1, SCN2A, GABRG2, GABRA1
HP:0011182	Interictal epileptiform activity	12	0.0192	8.0702693877551	1.8138417581604715e-08	1.2439326777464513e-05	4.905203123241977	0.0001865899016619677	MAP1B, SCN9A, AP2M1, NECAP1, SLC9A6, GOSR2, CRH, SCN8A, STRADA, SCN2A, GABRG2, GABRA1
HP:0010818	Generalized tonic seizure	13	0.0208	6.6937	5.1811590578870094e-08	2.961032401582426e-05	4.528556840246141	0.0005329858322848367	SCN9A, CACNB4, NECAP1, GNAO1, SCN8A, PAFAH1B1, SLC32A1, TUBA1A, STXBP1, SCN2A, GNB1, GABRG2, GABRA1
HP:0002384	Focal impaired awareness seizure	22	0.0352	5.7998336	2.5453801611036092e-11	5.236865143454566e-08	7.280928609640164	2.6184325717272826e-07	ATP6V0C, CLN8, STX1B, ATP6V0A1, ATP6V1B2, SLC32A1, STRADA, STXBP1, TBC1D24, GNAI1, GNAO1, SCN8A, PAFAH1B1, ATP1A3, CLCN4, SCN2A, GNB1, GABRG2, SCN9A, AP2M1, DNM1L, GABRA1
HP:0002121	Generalized non-motor (absence) seizure	24	0.0384	5.772893430656934	3.507762070017021e-12	1.2028116138088364e-08	7.919802387198772	3.60843484142651e-08	TUBB3, ATP6V0C, CACNB4, STX1B, YWHAG, SLC32A1, GNAI1, GNAO1, SCN8A, SETD5, ATP1A3, TUBA1A, CLCN4, SCN2A, GNB1, GABRG2, SCN9A, AP2M1, CAPRIN1, PPFIA3, GOSR2, ALDH5A1, PPP2CA, GABRA1
HP:0032792	Tonic seizure	14	0.0224	5.558438554216868	1.8648595598814746e-07	8.719913769318513e-05	4.059487809757147	0.0019183810292500729	NAPB, GABRG2, STX1B, TMEM147, NSF, ST3GAL3, PSAP, SCN8A, ATP1A3, SV2A, SCN2A, GNB1, ATP6V0C, ATP6V0A1
HP:0010819	Atonic seizure	16	0.0256	5.4922666666666675	2.9791483639778104e-08	1.8027352482493963e-05	4.74406804957655	0.00030646499220239734	SCN9A, STX1B, ATP6AP2, GABRG2, COX8A, AP2M1, ST3GAL3, GOSR2, GNAO1, PAFAH1B1, SLC32A1, STXBP1, SCN2A, GNB1, ATP6V0C, GABRA1
HP:0002067	Bradykinesia	19	0.0304	5.217653333333333	3.687945767225949e-09	3.5177420733395864e-06	5.45373600690012	3.793789810745334e-05	PDE8B, VPS35, ATP6AP2, STX1B, FTL, PRNP, DNAJC6, UCHL1, ATP1A3, CHCHD2, SCN2A, ATL1, GABRG2, SCN9A, CLTC, SNCA, SLC9A6, DCTN1, GABRA1
HP:0002063	Rigidity	31	0.0496	5.1855918781725885	5.110537418587026e-14	5.257209842500474e-10	9.279244687691257	5.257209842500474e-10	NECAP1, PSAP, STUB1, PDE8B, VPS35, ATP6AP2, FTL, ATAD1, CTSD, TUBB4A, PRNP, ADAR, DNAJC6, YWHAG, GLRB, UCHL1, SCN8A, ATP1A3, CHCHD2, ITM2B, ATL1, SCN2A, GABRG2, SCN9A, CLTC, SNCA, REEP2, KRAS, SLC9A6, DCTN1, GABRA1
HP:0200134	Epileptic encephalopathy	18	0.0288	4.598176744186047	7.157531317591747e-08	3.875238140214016e-05	4.411701604176241	0.000736295246640663	NAPB, AP2M1, NECAP1, NSF, SLC9A6, MDH1, ST3GAL3, GNAO1, DNM1L, PAFAH1B1, SCN8A, SLC32A1, CLCN4, STXBP1, SCN2A, TBC1D24, GABRG2, GABRA1
HP:0007359	Focal-onset seizure	25	0.04	4.139899497487438	1.975181252955575e-09	2.53983619364425e-06	5.5951942922345665	2.0318689549154e-05	MAP1B, SPTBN1, VAMP2, TUBB3, ATP6V0C, STX1B, MBOAT7, SLC32A1, ATP5PO, TBC1D24, GNAO1, SCN8A, ATP1A3, TUBA1A, SCN2A, GNB1, GABRG2, SCN9A, AP2M1, CAPRIN1, GOSR2, PPP2CA, DNM1L, GOLGA2, GABRA1
HP:0001268	Mental deterioration	22	0.0352	4.095927683615819	2.2400122023718092e-08	1.4401878453624251e-05	4.841580858679874	0.00023043005525798802	NECAP1, ACTB, PSAP, STUB1, BSCL2, PDE11A, CLN8, VPS35, CTSD, PRNP, YWHAG, APP, PRKAR1A, SCN8A, ATP1A3, SCN2A, GABRG2, CLTC, SNCA, SLC9A6, GOSR2, SCARB2
HP:0002133	Status epilepticus	22	0.0352	3.8156800000000004	8.11949943511929e-08	4.176264534453607e-05	4.37921199989688	0.0008352529068907214	NECAP1, PSAP, BSCL2, PGM2L1, CACNB4, STX1B, CTSD, YWHAG, SLC32A1, STRADA, STXBP1, TBC1D24, SCN8A, ATP1A3, SCN2A, GNB1, GABRG2, SCN9A, CLTC, ALDH5A1, DNM1L, GABRA1
HP:0002069	Bilateral tonic-clonic seizure	40	0.064	3.723570621468926	8.78554987167951e-13	4.518847576498356e-09	8.344972307441113	9.037695152996712e-09	ST3GAL3, PSAP, CRH, STUB1, ATP6V0C, CLN8, CAMTA1, CACNB4, ATP6AP2, ATP6V0A1, STX1B, ATP6V1B2, SLC32A1, STXBP1, PRPS1, TBC1D24, WAC, HSD17B4, GNAI1, ATRX, GNAO1, SCN8A, SETD5, ATP1A3, TUBA1A, SV2A, CLCN4, SCN2A, GNB1, GABRG2, SCN9A, AP2M1, STARD7, GOSR2, ALDH5A1, PPP2CA, DNM1L, CERT1, ACADM, GABRA1
HP:0001336	Myoclonus	36	0.0576	3.6728470588235296	1.8539696996569596e-11	4.767946575092786e-08	7.321668619516224	1.9071786300371144e-07	NECAP1, PSAP, BSCL2, CLN8, CACNB4, ATP6V0A1, ATAD1, ATP6V1B2, PRNP, ADAR, DNAJC6, YWHAG, SLC32A1, SERPINI1, TBC1D24, APP, GLRB, GNAO1, SCN8A, ATP1A3, CLCN4, SCN2A, GNB1, GABRG2, TSPYL1, SCN9A, CLTC, SNCA, AP2M1, STARD7, PPFIA3, GOSR2, KIF1B, SLC9A6, SCARB2, GABRA1
